accountsservice,23.13.9-2ubuntu6,Ubuntu Developers <ubuntu-devel-discuss@lists.ubuntu.com>,
acl,2.3.2-1build1.1,Ubuntu Developers <ubuntu-devel-discuss@lists.ubuntu.com>,
acpid,1:2.0.34-1ubuntu2,Ubuntu Developers <ubuntu-devel-discuss@lists.ubuntu.com>,
adduser,3.137ubuntu1,Ubuntu Developers <ubuntu-devel-discuss@lists.ubuntu.com>,
adwaita-icon-theme,46.0-1,Ubuntu Developers <ubuntu-devel-discuss@lists.ubuntu.com>,
alsa-base,1.0.25+dfsg-0ubuntu7,Ubuntu Core Developers <ubuntu-devel@lists.ubuntu.com>,
alsa-topology-conf,1.2.5.1-2,Ubuntu Developers <ubuntu-devel-discuss@lists.ubuntu.com>,
alsa-ucm-conf,1.2.10-1ubuntu5.7,Ubuntu Developers <ubuntu-devel-discuss@lists.ubuntu.com>,
alsa-utils,1.2.9-1ubuntu5,Ubuntu Developers <ubuntu-devel-discuss@lists.ubuntu.com>,
amazon-cloudwatch-agent,1.300062.0b1304-1,Amazon.com, Inc.
